cell_id,stichtag,ev_share,minx,miny,maxx,maxy,suppressed
5kmN3245E4430,2026-04-01,0.032,1291093.4367999993,6855060.442299999,1299439.5298999995,6863426.359300002,False
5kmN3250E4320,2026-04-01,0.071,1111559.2602999993,6865385.1906,1119737.4974000007,6873582.498999998,False
5kmN3250E4325,2026-04-01,0.071,1119730.8731000014,6865374.457000002,1127915.7221000008,6873580.016599998,False
5kmN3250E4330,2026-04-01,0.051,1127900.817499999,6865355.466799997,1136093.9191000015,6873569.259499997,False
5kmN3250E4335,2026-04-01,0.083,1136070.7342000008,6865328.2201000005,1144272.0727000013,6873550.227899998,False
5kmN3250E4340,2026-04-01,0.055999999999999994,1144240.6077000014,6865292.717100002,1152450.1675000004,6873522.921700001,False
5kmN3250E4345,2026-04-01,0.066,1152410.422699999,6865248.9580999985,1160628.188099999,6873487.341300003,False
5kmN3250E4350,2026-04-01,0.07,1160580.1638000011,6865196.9432,1168806.1191000007,6873443.4868,False
5kmN3250E4355,2026-04-01,0.076,1168749.8154999986,6865136.672799997,1176983.9448999986,6873391.358499996,False
5kmN3250E4360,2026-04-01,0.066,1176919.3625000007,6865068.1472999975,1185161.6499999985,6873330.956600003,False
5kmN3250E4365,2026-04-01,0.076,1185088.7892999984,6864991.3671,1193339.2192000002,6873262.2817,False
5kmN3250E4370,2026-04-01,0.064,1193258.0804999992,6864906.332699999,1201516.6367999986,6873185.333999999,False
5kmN3250E4375,2026-04-01,0.073,1201427.2208000012,6864813.0446000025,1209693.8874000013,6873100.114100002,False
5kmN3250E4380,2026-04-01,0.055999999999999994,1209596.1948000006,6864711.503300004,1217870.955600001,6873006.622500002,False
5kmN3250E4385,2026-04-01,0.045,1217764.9869999997,6864601.7095,1226047.8258999996,6872904.859700002,False
5kmN3250E4390,2026-04-01,0.04,1225933.5821000002,6864483.663800001,1234224.482900001,6872794.826499999,False
5kmN3250E4395,2026-04-01,0.017,1234101.9646999985,6864357.366999999,1242400.9112000018,6872676.523400001,False
5kmN3250E4400,2026-04-01,0.009000000000000001,1242270.1193999983,6864222.819899999,1250577.0951999985,6872549.951200001,False
5kmN3250E4405,2026-04-01,0.022000000000000002,1250438.0309000015,6864080.023199998,1258753.0196999982,6872415.110600002,False
5kmN3250E4410,2026-04-01,0.045,1258605.683699999,6863928.977799997,1266928.6689999998,6872272.002499998,False
5kmN3250E4415,2026-04-01,0.02,1266773.0623999983,6863769.684799999,1275104.0278999992,6872120.627800003,False
5kmN3250E4420,2026-04-01,0.015,1274940.1517999992,6863602.144900002,1283279.0808999985,6871960.987400003,False
5kmN3250E4430,2026-04-01,0.03,1291273.4008999988,6863242.329099998,1299628.2074000016,6871616.9135000035,False
5kmN3255E4320,2026-04-01,0.052000000000000005,1111557.6000999995,6873580.016599998,1119744.1382,6881785.6369,False
5kmN3255E4325,2026-04-01,0.071,1119737.4974000007,6873569.259499997,1127930.663899999,6881783.149099998,False
5kmN3255E4330,2026-04-01,0.064,1127915.7221000008,6873550.227899998,1136117.1616999991,6881772.368500002,False
5kmN3255E4335,2026-04-01,0.054000000000000006,1136093.9191000015,6873522.921700001,1144303.6160000004,6881753.295299999,False
5kmN3255E4340,2026-04-01,0.059000000000000004,1144272.0727000013,6873487.341300003,1152490.0113000013,6881725.929499999,False
5kmN3255E4345,2026-04-01,0.071,1152450.1675000004,6873443.4868,1160676.3321000002,6881690.271399997,False
